Team,Season,Mean_Salary,Median.Salary,Max,Min,Standard_deviation,Total,salaries
LAC,12_13,4557374.133333334,1957000,17779457,177024,4963751.20154271,68360612,
LAL,12_13,6258249.25,2450000,27849000,44835,8414887.03366673,100131988,
MEM,12_13,4100650.0625,2582742,16500000,508586,4786869.140611491,65610401,
MIA,12_13,6559203.8,4000000,17545000,314806,6628790.42394575,98388057,
MIL,12_13,4387502.928571428,3637440,11000000,1229255,2933644.406863493,61425041,
MIN,12_13,4456612.529411765,2575000,21459805,452323,5628208.689369038,75762413,
NOH,12_13,3063511.466666667,2238360,13668750,25073,3781480.511404719,45952672,
NYK,12_13,3607085.0588235296,1680360,19450000,62912,5174514.245527502,61320446,
OKC,12_13,4928692.857142857,2136630.5,17548838,762195,5688264.809583429,69001700,
ORL,12_13,3703834.25,1646640,8600000,473604,3337420.0526692667,44446011,
PHI,12_13,3336906.533333333,3000000,8039130,76220,2477202.9643624816,50053598,
PHX,12_13,3432777.6153846155,3500000,7500000,473604,2409154.776747077,44626109,
POR,12_13,3829214.5,2232620,13000000,550000,3957067.3886863147,53609003,
SAC,12_13,4001566.785714286,3346403,8080000,762195,2454561.8038208643,56021935,
SAS,12_13,4893793.857142857,3565000,14107492,239588,4674659.5492966585,68513114,
TOR,12_13,4708881.384615385,3374640,16460532,665000,4394608.745802777,61215458,
UTA,12_13,4120880.3846153845,2500000,15000000,473604,4035936.4658235875,53571445,
WAS,12_13,3450128.153846154,1797600,13543250,572943,3658598.746916977,44851666,
ATL,13_14,3547501.6428571427,1379400,12000000,107776,3900113.6775709223,49665023,
BKN,13_14,7225618,4227025,21466718,121103,7093001.341810992,115609888,
BOS,13_14,4436630.0625,2823216,12000000,28834,4191364.334464845,70986081,
CHA,13_14,4633842.076923077,3250000,13500000,535288,4165137.457177143,60239947,
CHI,13_14,4951965.214285715,2111219.5,17632688,455580,5785714.870978124,69327513,
CLE,13_14,3707814.0555555555,2737500,14312125,28834,3770295.690417904,66740653,
DAL,13_14,4529243.866666666,2500000,22721381,490180,5813038.83163731,67938658,
DEN,13_14,3973938.5714285714,3115841.5,10786517,788872,3301875.936554918,55635140,
DET,13_14,3901016.625,2576540,14000000,28834,3885798.739393226,62416266,
GSW,13_14,5098878.642857143,3084535.5,14200000,296138,5202393.283636729,71384301,
HOU,13_14,3658242.6,1234320,20513178,158587,5811294.94011058,54873639,
IND,13_14,5026967.285714285,3641001.5,14283844,884293,4140577.83442784,70377542,
LAC,13_14,5536275.05882353,3250000,18668431,69791,6011184.716647849,94116676,
LAL,13_14,4217978.555555556,1011520.5,30453000,100000,8037333.102699231,75923614,
MEM,13_14,4915632.125,3076930,17800000,490180,5189010.291689066,78650114,
MIA,13_14,5730528.1875,3249525,19067500,88429,6824288.432703581,91688451,
MIL,13_14,2227564.125,1354329.5,7900000,28834,2339428.0931242113,35641026,
MIN,13_14,4200863.866666666,3066667,14693906,104034,4187051.2800759724,63012958,
NOP,13_14,3927311.210526316,2339040,14283844,74469,4474517.51015956,74618913,
NYK,13_14,5493555,2988800,21490000,184538,6339700.840658262,76909770,
OKC,13_14,4649268.705882353,2090880,18773176,46404,5758353.2745675845,79037568,
ORL,13_14,2530043.076923077,1482000,8600000,256623,2726982.956324946,32890560,
PHI,13_14,1293505.2666666666,788872,8600000,46404,2123417.407929675,19402579,
PHX,13_14,2668975.272727273,2207040,7500000,306036,2412849.263298066,29358728,
POR,13_14,4186310.714285714,3000000,14100000,788872,3943581.453796369,58608350,
SAC,13_14,3840131.4285714286,2194824,17888932,524616,4543882.138078724,53761840,
SAS,13_14,4413597.214285715,3256250,12500000,107776,4011980.602073824,61790361,
TOR,13_14,4145224.2,3526440,9500000,700000,2567771.5448977263,62178363,
UTA,13_14,3687466.6,2438760,11046000,139951,3364164.9229238536,55311999,
WAS,13_14,5063270.166666667,5075000,8548107,916099,2660779.7695937944,60759242,
ATL,14_15,4047367.0714285714,2466666.5,12000000,816482,3517556.852179156,56663139,
BKN,14_15,5688365.5,2405920,23180790,125104,7399929.663097526,91013848,
BOS,14_15,3779074.0714285714,2676880,10105855,816482,2948092.6640710356,52907037,
CHA,14_15,4199273.333333333,3452183,13500000,816482,3528123.811072408,62989100,
CHI,14_15,4815334.428571428,2503980,18862876,507336,5319185.074842772,67414682,
CLE,14_15,6262595.647058823,5421233,20644400,214871,5775073.343327132,106464126,
DAL,14_15,5320681.214285715,2663693,14700000,507336,5417084.135906344,74489537,
DEN,14_15,4100009.1764705884,2373537,11595506,507336,3811023.086758581,69700156,
DET,14_15,3538862.9285714286,2886240,8000000,398393,2492557.3534790594,49544081,
