Team,Season,Mean_Salary,Median.Salary,Max,Min,Standard_deviation,Total,salaries
MIN,20_21,8210439.6,3761085,29467800,166111,9773986.718572678,123156594,
NOP,20_21,7961659.0625,3302159.5,29592695,107674,9758291.973269349,127386545,
NYK,20_21,5077062.866666666,4767000,19845000,520487,4758805.675770008,76155943,
OKC,20_21,4418453.125,2293037,34379100,129209,8169716.3842609525,70695250,
ORL,20_21,4613048.933333334,2383915,19610714,135350,5848816.279583105,69195734,
PHI,20_21,7399236.238095238,2564753,34358850,86132,10739449.121072054,155383961,
PHX,20_21,8004559.75,4080080,41358814,449115,11308735.788372181,128072956,
POR,20_21,9229788,3785051.5,31626953,449115,10929717.953990137,110757456,
SAC,20_21,5319321.3125,1517981,24931817,49222,7601520.006478281,85109141,
SAS,20_21,7000026.666666667,3516284,27739975,449115,8021346.358435976,105000400,
TOR,20_21,7853745,3838182.5,30559200,168983,10270714.930965582,125659920,
UTA,20_21,8004892.882352941,1977000,34502132,470690,10058133.351623904,136083179,
WAS,20_21,7501883.05882353,3737520,41358814,374297,11225422.89782103,127532012,
