"Rank","Team","Points","Conference","Change","Previous Rank","Previous Ranking Class","Year","Season","Gender","Division","Description"
1,"NORTHERN ARIZONA",74,"Big Sky",0,1,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
2,"PORTLAND",127,"West Coast",11,13,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
3,"BYU",165,"West Coast",4,7,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
4,"STANFORD",221,"Pac-12",-2,2,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
5,"ARKANSAS",259,"SEC",0,5,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
6,"OREGON",274,"Pac-12",3,9,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
7,"IOWA STATE",279,"Big 12",9,16,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
8,"COLORADO",294,"Pac-12",-2,6,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
9,"COLORADO STATE",318,"Mountain West",8,17,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
10,"MICHIGAN",328,"Big Ten",22,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
11,"SOUTHERN UTAH",334,"Big Sky",16,27,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
12,"IONA",373,"Metro Atlantic",-2,10,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
13,"SYRACUSE",406,"ACC",-10,3,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
14,"ALABAMA",420,"SEC",18,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
15,"AIR FORCE",429,"Mountain West",17,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
16,"VIRGINIA",436,"ACC",2,18,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
17,"NC STATE",455,"ACC",5,22,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
18,"OLE MISS",465,"SEC",-14,4,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
19,"BOISE STATE",475,"Mountain West",0,19,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
20,"VIRGINIA TECH",481,"ACC",12,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
21,"UCLA",485,"Pac-12",-6,15,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
22,"WASHINGTON",488,"Pac-12",10,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
23,"MIDDLE TENNESSEE",513,"Conference USA",5,28,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
24,"WASHINGTON STATE",539,"Pac-12",-10,14,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
25,"MICHIGAN STATE",590,"Big Ten",-5,20,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
26,"FURMAN",603,"SoCon",6,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
27,"UTAH STATE",603,"Mountain West",5,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
28,"PRINCETON",620,"Ivy League",4,32,"Unranked",2017,"Cross Country","Men","I","FINAL - November 18th"
29,"OKLAHOMA STATE",637,"Big 12",-17,12,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
30,"TEXAS",759,"Big 12",0,30,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
31,"NAVY",855,"Patriot",-5,26,"Ranked",2017,"Cross Country","Men","I","FINAL - November 18th"
1,"NEW MEXICO",90,"Mountain West",6,7,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
2,"SAN FRANCISCO",105,"West Coast",4,6,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
3,"COLORADO",139,"Pac-12",0,3,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
4,"STANFORD",165,"Pac-12",1,5,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
5,"OREGON",203,"Pac-12",-4,1,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
6,"BOISE STATE",264,"Mountain West",26,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
7,"FURMAN",271,"SoCon",25,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
8,"NC STATE",280,"ACC",-4,4,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
9,"MICHIGAN",295,"Big Ten",-7,2,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
10,"WISCONSIN",318,"Big Ten",4,14,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
11,"BYU",342,"West Coast",-1,10,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
12,"VILLANOVA",346,"Big East",9,21,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
13,"ARKANSAS",377,"SEC",6,19,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
14,"UTAH STATE",395,"Mountain West",18,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
15,"MICHIGAN STATE",395,"Big Ten",-7,8,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
16,"PROVIDENCE",400,"Big East",-3,13,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
17,"GEORGIA",411,"SEC",15,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
18,"PENN STATE",443,"Big Ten",0,18,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
19,"MINNESOTA",488,"Big Ten",13,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
20,"IOWA STATE",508,"Big 12",9,29,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
21,"WASHINGTON",513,"Pac-12",-9,12,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
22,"CALIFORNIA",530,"Pac-12",10,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
23,"EASTERN KENTUCKY",537,"Ohio Valley",9,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
24,"INDIANA",562,"Big Ten",8,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
25,"OLE MISS",571,"SEC",-2,23,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
26,"SYRACUSE",582,"ACC",6,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
27,"EASTERN MICHIGAN",603,"Mid-American",-18,9,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
28,"COLUMBIA",672,"Ivy League",4,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
29,"DARTMOUTH",745,"Ivy League",3,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
30,"OKLAHOMA STATE",748,"Big 12",-13,17,"Ranked",2017,"Cross Country","Women","I","FINAL - November 18th"
31,"TEXAS",788,"Big 12",1,32,"Unranked",2017,"Cross Country","Women","I","FINAL - November 18th"
1,"NORTHERN ARIZONA",125,"Big Sky",31,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
2,"STANFORD",158,"Pac-12",1,3,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
3,"SYRACUSE",164,"ACC",-2,1,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
4,"OLE MISS",196,"SEC",26,30,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
5,"ARKANSAS",206,"SEC",1,6,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
6,"COLORADO",223,"Pac-12",-4,2,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
7,"BYU",247,"WCC",5,12,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
8,"WISCONSIN",256,"Big Ten",24,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
9,"OREGON",282,"Pac-12",-5,4,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
10,"IONA",319,"Metro Atlantic",-5,5,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
11,"TULSA",340,"American",9,20,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
12,"OKLAHOMA STATE",363,"Big 12",6,18,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
13,"PORTLAND",368,"WCC",19,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
14,"WASHINGTON STATE",370,"Pac-12",12,26,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
15,"UCLA",378,"Pac-12",-1,14,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
16,"IOWA STATE",384,"Big 12",16,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
17,"COLORADO STATE",388,"Mountain West",15,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
18,"VIRGINIA",476,"ACC",4,22,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
19,"BOISE STATE",478,"Mountain West",-3,16,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
20,"MICHIGAN STATE",504,"Big Ten",5,25,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
21,"GEORGETOWN",534,"Big East",-11,10,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
22,"NC STATE",543,"ACC",6,28,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
23,"ILLINOIS",564,"Big Ten",9,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
24,"PROVIDENCE",611,"Big East",8,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
25,"DARTMOUTH",621,"Ivy League",7,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
26,"NAVY",622,"Patriot",6,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
27,"SOUTHERN UTAH",629,"Big Sky",-6,21,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
28,"MIDDLE TENNESSEE",697,"Conference USA",4,32,"Unranked",2016,"Cross Country","Men","I","FINAL - November 19th"
29,"UTEP",707,"Conference USA",-18,11,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
30,"TEXAS",736,"Big 12",1,31,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
31,"CALIFORNIA",776,"Pac-12",-8,23,"Ranked",2016,"Cross Country","Men","I","FINAL - November 19th"
1,"OREGON",125,"Pac-12",2,3,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
2,"MICHIGAN",126,"Big Ten",4,6,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
3,"COLORADO",134,"Pac-12",-1,2,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
4,"NC STATE",223,"ACC",1,5,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
5,"STANFORD",255,"Pac-12",9,14,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
6,"SAN FRANCISCO",307,"WCC",22,28,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
7,"NEW MEXICO",310,"Mountain West",-6,1,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
8,"MICHIGAN STATE",314,"Big Ten",5,13,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
9,"EASTERN MICHIGAN",316,"Mid-American",23,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
10,"BYU",328,"WCC",13,23,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
11,"NOTRE DAME",338,"ACC",-3,8,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
12,"WASHINGTON",352,"Pac-12",-2,10,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
13,"PROVIDENCE",399,"Big East",-9,4,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
14,"WISCONSIN",451,"Big Ten",18,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
15,"MISSISSIPPI STATE",459,"SEC",2,17,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
16,"MISSOURI",459,"SEC",16,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
17,"OKLAHOMA STATE",465,"Big 12",-10,7,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
18,"PENN STATE",465,"Big Ten",-2,16,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
19,"ARKANSAS",476,"SEC",-10,9,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
20,"UTAH",493,"Pac-12",6,26,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
21,"VILLANOVA",505,"Big East",9,30,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
22,"PORTLAND",509,"WCC",10,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
23,"OLE MISS",514,"SEC",9,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
24,"PENN",520,"Ivy League",8,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
25,"AIR FORCE",527,"Mountain West",7,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
26,"HARVARD",551,"Ivy League",6,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
27,"BAYLOR",586,"Big 12",5,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
28,"UCLA",596,"Pac-12",4,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
29,"IOWA STATE",608,"Big 12",-5,24,"Ranked",2016,"Cross Country","Women","I","FINAL - November 19th"
30,"YALE",661,"Ivy League",2,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
31,"LOUISVILLE",788,"ACC",1,32,"Unranked",2016,"Cross Country","Women","I","FINAL - November 19th"
1,"SYRACUSE",82,"ACC",4,5,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
2,"COLORADO",91,"Pac-12",-1,1,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
3,"STANFORD",151,"Pac-12",-1,2,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
4,"OREGON",183,"Pac-12",2,6,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
5,"IONA",231,"Metro Atlantic",3,8,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
6,"ARKANSAS",244,"SEC",22,28,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
7,"LOUISVILLE",331,"ACC",25,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
8,"WASHINGTON",345,"Pac-12",12,20,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
9,"MICHIGAN",348,"Big Ten",2,11,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
10,"GEORGETOWN",352,"Big East",7,17,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
11,"UTEP",354,"Conference USA",16,27,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
12,"BYU",406,"WCC",4,16,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
13,"FURMAN",423,"SoCon",17,30,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
14,"UCLA",429,"Pac-12",4,18,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
15,"OKLAHOMA",432,"Big 12",17,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
16,"BOISE STATE",435,"Mountain West",16,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
17,"EASTERN KENTUCKY",446,"OVC",6,23,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
18,"OKLAHOMA STATE",450,"Big 12",-9,9,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
19,"MINNESOTA",464,"Big Ten",13,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
20,"TULSA",468,"American",5,25,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
21,"SOUTHERN UTAH",477,"Big Sky",1,22,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
22,"VIRGINIA",480,"ACC",-1,21,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
23,"CALIFORNIA",524,"Pac-12",9,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
24,"PENN",526,"Ivy League",8,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
25,"MICHIGAN STATE",543,"Big Ten",-1,24,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
26,"WASHINGTON STATE",547,"Pac-12",6,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
27,"VIRGINIA TECH",581,"ACC",5,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
28,"NC STATE",596,"ACC",4,32,"Unranked",2015,"Cross Country","Men","I","FINAL - November 21st"
29,"FLORIDA STATE",598,"ACC",2,31,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
30,"OLE MISS",607,"SEC",-1,29,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
31,"TEXAS",833,"Big 12",-5,26,"Ranked",2015,"Cross Country","Men","I","FINAL - November 21st"
1,"NEW MEXICO",49,"Mountain West",2,3,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
2,"COLORADO",129,"Pac-12",5,7,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
3,"OREGON",214,"Pac-12",3,6,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
4,"PROVIDENCE",231,"Big East",9,13,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
5,"NC STATE",264,"ACC",11,16,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
6,"MICHIGAN",264,"Big Ten",12,18,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
7,"OKLAHOMA STATE",274,"Big 12",25,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
8,"NOTRE DAME",276,"ACC",21,29,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
9,"ARKANSAS",276,"SEC",-4,5,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
10,"WASHINGTON",297,"Pac-12",13,23,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
11,"BOISE STATE",330,"Mountain West",0,11,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
12,"SYRACUSE",359,"ACC",12,24,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
13,"MICHIGAN STATE",368,"Big Ten",-12,1,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
14,"STANFORD",379,"Pac-12",0,14,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
15,"VIRGINIA",386,"ACC",0,15,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
16,"PENN STATE",396,"Big Ten",16,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
17,"MISSISSIPPI STATE",405,"SEC",15,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
18,"MINNESOTA",471,"Big Ten",13,31,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
19,"VANDERBILT",474,"SEC",9,28,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
20,"GEORGETOWN",491,"Big East",-16,4,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
21,"PRINCETON",524,"Ivy League",11,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
22,"WEBER STATE",558,"Big Sky",10,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
23,"BYU",591,"WCC",9,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
24,"IOWA STATE",591,"Big 12",-22,2,"Ranked",2015,"Cross Country","Women","I","FINAL - November 21st"
25,"GONZAGA",615,"WCC",7,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
26,"UTAH",618,"Pac-12",6,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
27,"KANSAS",625,"Big 12",5,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
28,"SAN FRANCISCO",636,"WCC",4,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
29,"TULSA",646,"American",3,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
30,"VILLANOVA",667,"Big East",2,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
31,"TEXAS",828,"Big 12",1,32,"Unranked",2015,"Cross Country","Women","I","FINAL - November 21st"
1,"COLORADO",65,"Pac-12",0,1,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
2,"STANFORD",98,"Pac-12",17,19,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
3,"PORTLAND",175,"WCC",4,7,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
4,"NORTHERN ARIZONA",188,"Big Sky",-2,2,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
5,"SYRACUSE",206,"ACC",5,10,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
6,"OREGON",221,"Pac-12",-1,5,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
7,"VILLANOVA",230,"Big East",11,18,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
8,"IONA",270,"Metro Atlantic",-2,6,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
9,"OKLAHOMA STATE",296,"Big 12",-6,3,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
10,"WISCONSIN",335,"Big Ten",-1,9,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
11,"MICHIGAN",365,"Big Ten",10,21,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
12,"NORTH CAROLINA",380,"ACC",5,17,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
13,"PROVIDENCE",393,"Big East",3,16,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
14,"NEW MEXICO",394,"Mountain West",-3,11,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
15,"INDIANA",416,"Big Ten",-7,8,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
16,"BYU",437,"WCC",-12,4,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
17,"GEORGETOWN",444,"Big East",15,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
18,"UCLA",454,"Pac-12",14,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
19,"COLORADO STATE",468,"Mountain West",7,26,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
20,"WASHINGTON",479,"Pac-12",12,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
21,"VIRGINIA",502,"ACC",-8,13,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
22,"SOUTHERN UTAH",578,"Big Sky",10,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
23,"EASTERN KENTUCKY",579,"OVC",-8,15,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
24,"MICHIGAN STATE",583,"Big Ten",8,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
25,"TULSA",584,"American",2,27,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
26,"TEXAS",615,"Big 12",-12,14,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
27,"UTEP",629,"Conference USA",5,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
28,"ARKANSAS",647,"SEC",-16,12,"Ranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
29,"OLE MISS",685,"SEC",3,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
30,"FURMAN",747,"SoCon",2,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
31,"FLORIDA STATE",822,"ACC",1,32,"Unranked",2014,"Cross Country","Men","I","FINAL - November 22nd"
1,"MICHIGAN STATE",85,"Big Ten",5,6,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
2,"IOWA STATE",147,"Big 12",11,13,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
3,"NEW MEXICO",188,"Mountain West",7,10,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
4,"GEORGETOWN",189,"Big East",1,5,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
5,"ARKANSAS",209,"SEC",10,15,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
6,"OREGON",249,"Pac-12",8,14,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
7,"COLORADO",267,"Pac-12",0,7,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
8,"WEST VIRGINIA",277,"Big 12",16,24,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
9,"IONA",377,"Metro Atlantic",23,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
10,"WISCONSIN",382,"Big Ten",11,21,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
11,"BOISE STATE",392,"Mountain West",21,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
12,"FLORIDA STATE",393,"ACC",-4,8,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
13,"PROVIDENCE",401,"Big East",-12,1,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
14,"STANFORD",415,"Pac-12",-3,11,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
15,"VIRGINIA",433,"ACC",-6,9,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
16,"NC STATE",456,"ACC",16,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
17,"WILLIAM & MARY",463,"Colonial",-5,12,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
18,"MICHIGAN",474,"Big Ten",-14,4,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
19,"BAYLOR",479,"Big 12",13,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
20,"DARTMOUTH",508,"Ivy League",-4,16,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
21,"BOSTON COLLEGE",514,"ACC",11,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
22,"NORTH CAROLINA",515,"ACC",10,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
23,"WASHINGTON",559,"Pac-12",-6,17,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
24,"SYRACUSE",559,"ACC",-2,22,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
25,"VIRGINIA TECH",574,"ACC",7,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
26,"OHIO STATE",577,"Big Ten",6,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
27,"UCLA",582,"Pac-12",5,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
28,"VANDERBILT",598,"SEC",-1,27,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
29,"NOTRE DAME",609,"ACC",0,29,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
30,"TOLEDO",613,"Mid-American",2,32,"Unranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
31,"MINNESOTA",663,"Big Ten",-11,20,"Ranked",2014,"Cross Country","Women","I","FINAL - November 22nd"
1,"COLORADO",149,"Pac-12",2,3,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd"
2,"NORTHERN ARIZONA",169,"Big Sky",2,4,"Ranked",2013,"Cross Country","Men","I","FINAL - November 23rd"
