"Rank","Team","Points","Conference","Change","Previous Rank","Previous Ranking Class","Year","Season","Gender","Division","Description"
19,"FLORIDA STATE",468,"ACC",-4,15,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
20,"UTAH",483,"Pac-12",12,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
21,"WEST VIRGINIA",489,"Big 12",8,29,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
22,"MICHIGAN",500,"Big Ten",-5,17,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
23,"NORTHERN ARIZONA",532,"Big Sky",-12,11,"Ranked",2021,"Cross Country","Women","I","FINAL - November 21st"
24,"OREGON",534,"Pac-12",8,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
25,"HARVARD",541,"Ivy League",7,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
26,"PROVIDENCE",594,"Big East",6,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
27,"VILLANOVA",605,"Big East",5,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
28,"UTAH STATE",638,"Mountain West",4,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
29,"BUTLER",660,"Big East",3,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
30,"SYRACUSE",768,"ACC",2,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
31,"RICE",811,"Conference USA",1,32,"Unranked",2021,"Cross Country","Women","I","FINAL - November 21st"
1,"NORTHERN ARIZONA",60,"Big Sky",1,2,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
2,"NOTRE DAME",87,"ACC",7,9,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
3,"OKLAHOMA STATE",142,"Big 12",3,6,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
4,"ARKANSAS",181,"SEC",-1,3,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
5,"STANFORD",194,"Pac-12",-1,4,"Ranked",2020,"Cross Country","Men","I","FINAL - March 15th"
