Sample_date,Sample_Time,DateTime, Station, Layer,SampleDepth_m,Salinity_ppt,pH,DO_mg/L,DO_pctSat,Turb_NTU,Chl_ug/L,BGA_RFU,T_Fahr,Temp_C
6/3/2020,20:0:0,06/03/20 20:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.77,8.74,101.4,11.27,8.81,,72.8312,22.684
6/3/2020,20:15:0,06/03/20 20:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.79,8.76,101.7,9.77,8.92,,72.968,22.76
6/3/2020,20:30:0,06/03/20 20:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.79,8.77,101.9,10.02,9.15,,73.0292,22.794
6/3/2020,20:45:0,06/03/20 20:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.76,8.64,100.3,12.8,8.63,,72.869,22.705
6/3/2020,21:0:0,06/03/20 21:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.74,8.59,99.6,12.04,8.8,,72.8852,22.714
6/3/2020,21:15:0,06/03/20 21:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.77,8.64,100.4,9.87,8.66,,73.103,22.835
6/3/2020,21:30:0,06/03/20 21:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.78,8.61,100.3,10.4,8.77,,73.2344,22.908
6/3/2020,21:45:0,06/03/20 21:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.75,8.5,99.1,10.96,8.5,,73.2686,22.927
6/3/2020,22:0:0,06/03/20 22:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.75,8.51,99.3,10.39,8.55,,73.3712,22.984
6/3/2020,22:15:0,06/03/20 22:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.74,8.46,98.6,11.14,7.97,,73.265,22.925
6/3/2020,22:30:0,06/03/20 22:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.73,8.45,98.6,9.46,7.78,,73.4126,23.007
6/3/2020,22:45:0,06/03/20 22:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.7,8.4,97.8,11.85,8.2,,73.2344,22.908
6/3/2020,23:0:0,06/03/20 23:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.71,8.43,98.3,8.83,7.67,,73.4342,23.019
6/3/2020,23:15:0,06/03/20 23:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.7,8.37,97.6,9.81,8.59,,73.3784,22.988
6/3/2020,23:30:0,06/03/20 23:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.68,8.25,96.1,11.94,7.59,,73.274,22.93
6/3/2020,23:45:0,06/03/20 23:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.71,8.27,96.4,10.05,7.52,,73.2758,22.931
6/4/2020,0:0:0,06/04/20 00:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.72,8.28,96.4,9.74,7.39,,73.2506,22.917
6/4/2020,0:15:0,06/04/20 00:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.73,8.32,96.8,8.28,7.21,,73.2182,22.899
6/4/2020,0:30:0,06/04/20 00:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.74,8.44,98.1,9.3,8.45,,73.067,22.815
6/4/2020,0:45:0,06/04/20 00:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.68,8.41,97.8,8.9,7.83,,73.0724,22.818
6/4/2020,1:0:0,06/04/20 01:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.71,8.54,99,8.17,8.43,,72.842,22.69
6/4/2020,1:15:0,06/04/20 01:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.65,8.33,96.5,12.59,8.08,,72.7394,22.633
6/4/2020,1:30:0,06/04/20 01:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.65,8.32,96.3,14.65,8.19,,72.6656,22.592
6/4/2020,1:45:0,06/04/20 01:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.8,8.79,101.8,17.44,10.57,,72.7484,22.638
6/4/2020,2:0:0,06/04/20 02:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.72,8.56,99,9.99,9.37,,72.6044,22.558
6/4/2020,2:15:0,06/04/20 02:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.71,8.55,98.9,15.5,9.58,,72.5792,22.544
6/4/2020,2:30:0,06/04/20 02:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.72,8.58,99.4,8.28,8.52,,72.7646,22.647
6/4/2020,2:45:0,06/04/20 02:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.71,8.56,99,11.55,9.35,,72.5972,22.554
6/4/2020,3:0:0,06/04/20 03:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.8,8.85,102.3,13.76,11.23,,72.4658,22.481
6/4/2020,3:15:0,06/04/20 03:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.76,8.72,100.6,14.22,10.11,,72.401,22.445
6/4/2020,3:30:0,06/04/20 03:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.8,8.85,102.2,13.1,11.32,,72.3956,22.442
6/4/2020,3:45:0,06/04/20 03:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.8,8.85,102.1,13.69,11.29,,72.32,22.4
6/4/2020,4:0:0,06/04/20 04:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.82,8.87,102.3,11.38,11.6,,72.3308,22.406
6/4/2020,4:15:0,06/04/20 04:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.81,8.86,102.1,11.42,11.65,,72.2822,22.379
6/4/2020,4:30:0,06/04/20 04:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.81,8.87,102.2,10.97,11.86,,72.2786,22.377
6/4/2020,4:45:0,06/04/20 04:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.83,8.83,101.9,9.84,11.48,,72.3362,22.409
6/4/2020,5:0:0,06/04/20 05:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.81,8.75,101,10.24,11.5,,72.374,22.43
6/4/2020,5:15:0,06/04/20 05:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.82,8.76,101.1,9.83,10.85,,72.3326,22.407
6/4/2020,5:30:0,06/04/20 05:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.84,8.77,101.1,9.79,11.52,,72.32,22.4
6/4/2020,5:45:0,06/04/20 05:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.85,8.8,101.5,10.39,11.07,,72.2858,22.381
6/4/2020,6:0:0,06/04/20 06:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.85,8.83,101.8,10.34,10.33,,72.2426,22.357
6/4/2020,6:15:0,06/04/20 06:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.84,8.87,102.1,10.12,10.06,,72.2228,22.346
6/4/2020,6:30:0,06/04/20 06:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.8,8.87,102.2,10.04,9.68,,72.2156,22.342
6/4/2020,6:45:0,06/04/20 06:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.79,8.89,102.4,9.78,9.68,,72.2048,22.336
6/4/2020,7:0:0,06/04/20 07:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.79,8.91,102.6,9.7,9.25,,72.1904,22.328
6/4/2020,7:15:0,06/04/20 07:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.81,8.99,103.6,9.17,9.47,,72.2336,22.352
6/4/2020,7:30:0,06/04/20 07:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.76,8.74,100.9,15.97,9.88,,72.4496,22.472
6/4/2020,7:45:0,06/04/20 07:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.79,8.86,102.4,10.57,9.6,,72.4982,22.499
6/4/2020,8:0:0,06/04/20 08:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.75,8.71,100.8,13.55,9.34,,72.6206,22.567
6/4/2020,8:15:0,06/04/20 08:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.75,8.7,100.7,12.77,9.1,,72.635,22.575
6/4/2020,8:30:0,06/04/20 08:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.75,8.7,100.7,13.72,8.81,,72.5954,22.553
6/4/2020,8:45:0,06/04/20 08:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.73,8.6,99.5,15.35,8.65,,72.617,22.565
6/4/2020,9:0:0,06/04/20 09:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.72,8.49,98.5,14.36,8.44,,72.8798,22.711
6/4/2020,9:15:0,06/04/20 09:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.7,8.46,98.1,10.92,8.13,,72.7592,22.644
6/4/2020,9:30:0,06/04/20 09:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.69,8.37,97.3,12.24,7.02,,73.0148,22.786
6/4/2020,9:45:0,06/04/20 09:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.68,8.36,97.2,12.68,7.09,,73.031,22.795
6/4/2020,10:0:0,06/04/20 10:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.69,8.38,97.4,11.3,6.56,,73.067,22.815
6/4/2020,10:15:0,06/04/20 10:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.69,8.35,97,11.94,6.73,,73.0436,22.802
6/4/2020,10:30:0,06/04/20 10:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.68,8.3,96.6,9.32,5.91,,73.2398,22.911
6/4/2020,10:45:0,06/04/20 10:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.68,8.25,96.2,9.1,5.59,,73.364,22.98
6/4/2020,11:0:0,06/04/20 11:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.63,8.11,94.6,10.53,5.2,,73.3892,22.994
6/4/2020,11:15:0,06/04/20 11:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.65,8.16,95.3,10.07,5.55,,73.5134,23.063
6/4/2020,11:30:0,06/04/20 11:30, Potomac River - Mallows Bay Buoy,BS,,0.12,7.65,8.11,94.9,8.84,5.14,,73.679,23.155
6/4/2020,11:45:0,06/04/20 11:45, Potomac River - Mallows Bay Buoy,BS,,0.12,7.64,8.04,93.8,11.64,5.54,,73.4576,23.032
6/4/2020,12:0:0,06/04/20 12:00, Potomac River - Mallows Bay Buoy,BS,,0.12,7.65,8.05,94.1,11.06,6.08,,73.5368,23.076
6/4/2020,12:15:0,06/04/20 12:15, Potomac River - Mallows Bay Buoy,BS,,0.12,7.71,8.24,96.8,8,5.74,,74.0588,23.366
